eventSequence,eventType,levelId,playerId,position,reason,sessionId,timestamp,viewBeforeEvent
-1,Start,Level3,2ffc0eb6-7d15-4050-a150-85210a4aca2e,"{'x': 16.0, 'y': -14.0, 'z': -0.5}",N/A,805fff9e-444e-4733-9c78-420db6006fac,1744008683191,Platformer
1,Shift,Level3,2ffc0eb6-7d15-4050-a150-85210a4aca2e,"{'x': 16.0, 'y': -14.0, 'z': -0.5}",N/A,805fff9e-444e-4733-9c78-420db6006fac,1744008684801,Platformer
-1,Start,Level0,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': -17.610000610351562, 'y': -15.5, 'z': -0.5}",N/A,8b19224d-1001-4805-ab5c-d6a61c7aefd3,1744009167453,Platformer
-1,Lose,Level0,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': 16.49005699157715, 'y': -16.511051177978516, 'z': -0.5}",KillZone,8b19224d-1001-4805-ab5c-d6a61c7aefd3,1744009175964,N/A
-1,Start,Level0,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': -17.610000610351562, 'y': -15.5, 'z': -0.5}",N/A,b72589c3-f98d-4516-8068-90663efb2bcb,1744009177517,Platformer
-1,Lose,Level0,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': -10.609973907470703, 'y': -16.524642944335938, 'z': -0.5}",KillZone,b72589c3-f98d-4516-8068-90663efb2bcb,1744009179415,N/A
-1,Start,Level0,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': -17.610000610351562, 'y': -15.5, 'z': -0.5}",N/A,5560ac68-04cb-4d37-be67-2a9e5271f9e7,1744009180609,Platformer
-1,Win,Level0,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': 19.6900691986084, 'y': -7.5, 'z': -0.5}",N/A,5560ac68-04cb-4d37-be67-2a9e5271f9e7,1744009190908,N/A
-1,Start,Level1,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': -2.5, 'y': -4.5, 'z': -0.5}",N/A,d916a2ed-c3b0-4913-b10a-5930dfdcc425,1744009192124,TopDown
-1,Win,Level1,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': -16.503143310546875, 'y': -14.499980926513672, 'z': -0.5}",N/A,d916a2ed-c3b0-4913-b10a-5930dfdcc425,1744009210839,N/A
-1,Start,Level2,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': 21.5, 'y': -13.0, 'z': -0.5}",N/A,2be6738f-5eb7-47a4-9943-f6ebebab0543,1744009212035,Platformer
1,Shift,Level2,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': 21.5, 'y': -13.0, 'z': -0.5}",N/A,2be6738f-5eb7-47a4-9943-f6ebebab0543,1744009213095,Platformer
2,Shift,Level2,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': 4.999999046325684, 'y': -11.000015258789062, 'z': -0.5}",N/A,2be6738f-5eb7-47a4-9943-f6ebebab0543,1744009216931,TopDown
-1,Lose,Level2,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': 2.099954605102539, 'y': -16.530630111694336, 'z': -0.5}",KillZone,2be6738f-5eb7-47a4-9943-f6ebebab0543,1744009221209,N/A
-1,Start,Level2,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': 21.5, 'y': -13.0, 'z': -0.5}",N/A,02ac8c74-a30d-4f04-ae7f-4f1aa77860a3,1744009222452,Platformer
1,Shift,Level2,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': 21.5, 'y': -13.0, 'z': -0.5}",N/A,02ac8c74-a30d-4f04-ae7f-4f1aa77860a3,1744009223913,Platformer
2,Shift,Level2,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': 4.999999046325684, 'y': -12.000015258789062, 'z': -0.5}",N/A,02ac8c74-a30d-4f04-ae7f-4f1aa77860a3,1744009227130,TopDown
3,Shift,Level2,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': -4.000044345855713, 'y': -14.0, 'z': -0.5}",N/A,02ac8c74-a30d-4f04-ae7f-4f1aa77860a3,1744009233062,Platformer
